epoch,train_loss,val_recall,val_auc,val_tp,val_tn,val_fp,val_fn,threshold
1,0.5848692182451487,0.821743388834476,0.8950562930925806,839,858,152,182,0.2636273
2,0.5110609211648504,0.8462291870714985,0.9382560293247738,864,914,96,157,0.31010628
3,0.5017212338745594,0.9079333986287953,0.9543390773945172,927,888,122,94,0.2865227
4,0.4786611267055074,0.9059745347698335,0.9526187682431317,925,885,125,96,0.25070363
5,0.4753008778517445,0.8579823702252694,0.9550033455843134,876,940,70,145,0.26701385
6,0.47145815783490735,0.8550440744368266,0.9487708614152307,873,927,83,148,0.2457624
7,0.46738346529503666,0.8707149853085211,0.961256194179653,889,949,61,132,0.38716406
8,0.44802692576001085,0.8638589618021547,0.9577806654318712,882,939,71,139,0.4138875
