epoch,train_loss,val_loss,val_acc,precision,recall,f1,specificity,balanced_acc,roc_auc
1,0.5729474874876314,0.5191134131055767,0.7157333333333333,0.7508196721311475,0.6925403225806451,0.7205034084950184,0.7417893544733862,0.7171648385270157,0.8049172542286194
2,0.49414418208397043,0.46315501655562447,0.7514666666666666,0.8065268065268065,0.6975806451612904,0.7481081081081081,0.812004530011325,0.7547925875863077,0.8515496565959157
3,0.44523591939675605,0.40105738553960446,0.8021333333333334,0.8171603677221655,0.8064516129032258,0.8117706747843734,0.797281993204983,0.8018668030541044,0.8873388010082928
4,0.39407243415460746,0.376518689222255,0.8144,0.823943661971831,0.8256048387096774,0.824773413897281,0.8018120045300113,0.8137084216198444,0.9008432122894823
5,0.3634613306593087,0.36211431657863874,0.8272,0.8752808988764045,0.7852822580645161,0.8278427205100957,0.8742921857304643,0.8297872218974902,0.9121191502575531
6,0.3469913936520027,0.3422356277577958,0.8368,0.8880090497737556,0.7913306451612904,0.8368869936034116,0.8878822197055493,0.8396064324334198,0.9217853815803895
7,0.31545915621948445,0.3203543584983228,0.8506666666666667,0.9045454545454545,0.8024193548387096,0.8504273504273504,0.9048697621744054,0.8536445585065575,0.93178382895554
8,0.31759313127752076,0.3288521702259274,0.8309333333333333,0.9213483146067416,0.7439516129032258,0.8232013385387619,0.928652321630804,0.8363019672670149,0.9375331074416395
9,0.29352817305568923,0.3182516640399472,0.8618666666666667,0.9031903190319032,0.8276209677419355,0.8637559179379274,0.9003397508493771,0.8639803592956563,0.9347897563292294
10,0.2861490215537912,0.30722977047375705,0.8533333333333334,0.9163763066202091,0.7953629032258065,0.8515920129519697,0.9184597961494904,0.8569113496876484,0.9424113177218427
11,0.26821710762836165,0.312474103249862,0.8672,0.9169472502805837,0.8235887096774194,0.8677642060541689,0.9161947904869762,0.8698917500821978,0.9432275874036458
12,0.26717680272788313,0.3212203582811911,0.8576,0.9330943847072879,0.7872983870967742,0.854018589393111,0.9365798414496036,0.8619391142731889,0.9428908048076572
13,0.2569511070594949,0.3032839455783872,0.8629333333333333,0.9248554913294798,0.8064516129032258,0.8616047388260636,0.9263873159682899,0.8664194644357579,0.9465474646549519
14,0.2537078378816782,0.2904751352586989,0.8794666666666666,0.9057203389830508,0.8618951612903226,0.8832644628099173,0.89920724801812,0.8805512046542213,0.9484711211778029
15,0.2417848063159292,0.3010880877658472,0.8736,0.9217877094972067,0.8316532258064516,0.8744038155802861,0.9207248018120046,0.8761890138092281,0.9488786852007453
