epoch,train_loss,val_loss,val_acc,precision,recall,f1,specificity,balanced_acc,roc_auc
1,0.5561858450962325,0.5095870004872144,0.7269333333333333,0.7670011148272018,0.6942482341069627,0.7288135593220338,0.7635746606334841,0.7289114473702234,0.8119010004063724
2,0.4831357436665034,0.43721369679196403,0.784,0.8219780219780219,0.7547931382441978,0.7869542346133613,0.8167420814479638,0.7857676098460809,0.8660757907137083
3,0.4122092648077819,0.38437499516343665,0.8074666666666667,0.8547297297297297,0.7658930373360242,0.8078765300691857,0.8540723981900452,0.8099827177630348,0.905589216979969
4,0.3674948540026859,0.3475843864351006,0.8277333333333333,0.8353413654618473,0.8395560040363269,0.8374433819828888,0.8144796380090498,0.8270178210226884,0.9178157718105484
5,0.3422493968727225,0.31828826514341063,0.8432,0.854526958290946,0.8476286579212916,0.851063829787234,0.8382352941176471,0.8429319760194693,0.9318264836012803
6,0.3184463686735953,0.3092287229847605,0.8512,0.8869565217391304,0.8234106962663976,0.8540031397174255,0.8823529411764706,0.8528818187214341,0.9356345115085543
7,0.29658319725323534,0.30008427053689957,0.8544,0.867827868852459,0.8546922300706358,0.8612099644128114,0.8540723981900452,0.8543823141303405,0.939402587084667
8,0.2912979758013103,0.3017157333571527,0.8570666666666666,0.880927291886196,0.8435923309788093,0.8618556701030928,0.8721719457013575,0.8578821383400834,0.9384802589824255
9,0.280106353431435,0.2817121060344122,0.8629333333333333,0.8879492600422833,0.8476286579212916,0.8673205988642231,0.8800904977375565,0.863859577829424,0.947538023204314
10,0.26914312368479826,0.2857447541082057,0.8666666666666667,0.8815653964984552,0.863773965691221,0.872579001019368,0.8699095022624435,0.8668417339768322,0.9466522229477059
11,0.2669522687161373,0.2964253466165924,0.8586666666666667,0.9024390243902439,0.8213925327951564,0.8600105652403592,0.9004524886877828,0.8609225107414696,0.9463645661633434
12,0.2591348709065025,0.28729045732830794,0.8682666666666666,0.8940677966101694,0.851664984863774,0.8723514211886305,0.8868778280542986,0.8692714064590363,0.9496018464825968
13,0.2542220545395956,0.26617826292512275,0.8746666666666667,0.884928716904277,0.8768920282542886,0.8808920425747593,0.8721719457013575,0.874531986977823,0.952946427348398
14,0.24015934651685975,0.2865126027125802,0.8704,0.8961864406779662,0.8536831483350151,0.8744186046511628,0.8891402714932126,0.8714117099141139,0.9533493751455406
15,0.23523098271403273,0.29017159828553135,0.8709333333333333,0.8896982310093653,0.8627648839556004,0.8760245901639344,0.8800904977375565,0.8714276908465785,0.9530525863997698
