feature,auc_score
depth_first_half_mean,0.4185022177984815
ground_proximity_skewness,0.41788104763354167
depth_first_third_mean,0.41368580206636896
depth_post_peak_slope,0.4111286428076215
h_w_ratio_energy,0.3996602893662875
h_w_ratio_sum,0.393235583435229
h_w_ratio_mid_third_mean,0.3930337162512412
h_w_ratio_mean_crossings,0.39298945940761143
velocity_trough_pos,0.39100863037605493
h_w_ratio_weighted_mean,0.38908144600344374
h_w_ratio_weighted_sum,0.38908144600344374
h_w_ratio_mean,0.3878682603795126
ground_proximity_sum,0.3852335496029421
ground_proximity_first_third_mean,0.3850749480025819
h_w_ratio_weighted_peak_val,0.38389109201283506
h_w_ratio_median,0.3816720690336789
depth_min,0.37604707668678927
ground_proximity_mean_crossings,0.3757383866602059
ground_proximity_first_half_mean,0.37543576081246
tilt_mean_crossings,0.37113497520975364
ground_proximity_time_to_peak,0.3678205516186984
ground_proximity_peak_pos,0.3678205516186984
ground_proximity_curvature,0.3640753964019594
velocity_mean_crossings,0.3531286789594569
ground_proximity_energy,0.3512429525787045
ground_proximity_mid_third_mean,0.34912177279271184
h_w_ratio_second_half_mean,0.347146774702345
velocity_zero_crossings,0.34646216389726114
ground_proximity_weighted_peak_val,0.3442670477769828
ground_proximity_median,0.3439751508610259
h_w_ratio_last_third_mean,0.3339605093676986
ground_proximity_weighted_sum,0.3337682049272619
ground_proximity_weighted_mean,0.3337682049272619
ground_proximity_mean,0.33025243893692613
h_w_ratio_peak_pos,0.3288147620771912
h_w_ratio_time_to_peak,0.3288147620771912
ground_proximity_norm_delta,0.3110296917356321
ground_proximity_second_half_mean,0.3027168104285217
ground_proximity_last_third_mean,0.2954902917744662
h_w_ratio_norm_delta,0.29170478644469444
h_w_ratio_delta,0.2892006887507733
h_w_ratio_linear_slope,0.28821823346971903
h_w_ratio_half_mean_diff,0.2873252831359268
h_w_ratio_half_mean_ratio,0.281173931727842
h_w_ratio_min,0.2796217351831411
ground_proximity_linear_slope,0.27405254494343695
ground_proximity_half_mean_diff,0.27289574452081033
ground_proximity_delta,0.2664684146662165
ground_proximity_half_mean_ratio,0.255040003172032
h_w_ratio_post_peak_slope,0.2448388881794577
ground_proximity_post_peak_slope,0.23927657845035744
ground_proximity_min,0.22622040141365338
