epoch,train_loss,accuracy,precision,recall,specificity,f1,auc,mcc,fpr,fnr,tpr,tnr,tp,tn,fp,fn
1,0.7991695475252822,0.8071672354948806,0.8336314847942755,0.7779632721202003,0.8376963350639145,0.8048359240069085,0.9001739373650675,0.6161624695053823,0.16230366491863343,0.22203672787609288,0.7779632721202003,0.8376963350639145,466,480,93,133
2,0.7436673497787515,0.8208191126279863,0.810207336523126,0.8480801335559266,0.7923211169146192,0.8287112561174551,0.9088504109525184,0.6418164911815708,0.2076788830679288,0.15191986644153724,0.8480801335559266,0.7923211169146192,508,454,119,91
3,0.7299414510002722,0.840443686006826,0.8745454545454545,0.8030050083472454,0.8795811518171103,0.8372497824194952,0.9175851550140286,0.6837095774223532,0.12041884816543771,0.19699499164946585,0.8030050083472454,0.8795811518171103,481,504,69,118
4,0.7277923488779686,0.8472696245733788,0.8790613718411552,0.8130217028380634,0.88307155321321,0.8447528187337381,0.9214135251597338,0.6969618852573074,0.11692844676933807,0.18697829715881506,0.8130217028380634,0.88307155321321,487,506,67,112
5,0.7056192995745167,0.8481228668941979,0.8779174147217235,0.8163606010016694,0.8813263525151601,0.8460207612456747,0.9235782732710421,0.6983709545262734,0.1186736474673879,0.18363939899526477,0.8163606010016694,0.8813263525151601,489,505,68,110
6,0.6982293836899585,0.8395904436860068,0.8442211055276382,0.8414023372287145,0.8376963350639145,0.842809364548495,0.931529279456453,0.6790511916054097,0.16230366491863343,0.15859766276863776,0.8414023372287145,0.8376963350639145,504,480,93,95
7,0.714397265846005,0.8387372013651877,0.8317152103559871,0.8580968280467446,0.8184991273853665,0.8447000821692687,0.9286361504194016,0.6774402546721614,0.18150087259718148,0.14190317195088642,0.8580968280467446,0.8184991273853665,514,469,104,85
8,0.6897124712174256,0.8472696245733788,0.8595890410958904,0.8380634390651085,0.8568935427424625,0.8486897717666948,0.9289712056452436,0.6947899982005938,0.1431064572400854,0.16193656093218803,0.8380634390651085,0.8568935427424625,502,491,82,97
9,0.6942625226828019,0.8447098976109215,0.8357487922705314,0.8664440734557596,0.8219895287814661,0.8508196721311475,0.9310689427113835,0.6894950975948313,0.17801047120108185,0.13355592654201076,0.8664440734557596,0.8219895287814661,519,471,102,80
10,0.6857329588192722,0.8540955631399317,0.8664383561643836,0.8447412353923205,0.8638743455346619,0.8554522400676247,0.9343000404979793,0.7084453154445417,0.1361256544478861,0.1552587646050875,0.8447412353923205,0.8638743455346619,506,495,78,93
11,0.6815440007850986,0.8489761092150171,0.8370607028753994,0.8747913188647746,0.8219895287814661,0.8555102040816327,0.9352411086540396,0.6982379330818791,0.17801047120108185,0.12520868113313507,0.8747913188647746,0.8219895287814661,524,471,102,75
12,0.6995815373321442,0.8532423208191127,0.8990654205607477,0.8030050083472454,0.9057591622878576,0.8483245149911817,0.9355441151191484,0.7112886357554896,0.09424083769469038,0.19699499164946585,0.8030050083472454,0.9057591622878576,481,519,54,118
13,0.6753610945195468,0.8549488054607508,0.8717504332755632,0.8397328881469115,0.8708551483268612,0.8554421768707483,0.9388247428086951,0.710496960138058,0.12914485165568682,0.1602671118504129,0.8397328881469115,0.8708551483268612,503,499,74,96
14,0.6850429373593053,0.856655290102389,0.8383045525902669,0.8914858096828047,0.8202443280834163,0.8640776699029126,0.9389121485197842,0.7142651670203101,0.17975567189913166,0.10851419031538373,0.8914858096828047,0.8202443280834163,534,470,103,65
15,0.6931402327257619,0.8515358361774744,0.881508078994614,0.8196994991652755,0.8848167539112597,0.8494809688581315,0.9390257759442002,0.7052069494207657,0.11518324607128824,0.1803005008317145,0.8196994991652755,0.8848167539112597,491,507,66,108
16,0.6704764784196131,0.8549488054607508,0.8499184339314845,0.8697829716193656,0.8394415357619643,0.8597359735973598,0.9385421310095069,0.7098037922273224,0.16055846422058362,0.13021702837846047,0.8697829716193656,0.8394415357619643,521,481,92,78
17,0.6827593898407022,0.8549488054607508,0.8691910499139415,0.8430717863105175,0.8673647469307615,0.8559322033898306,0.9399726711476661,0.7102875492292798,0.13263525305178647,0.15692821368686263,0.8430717863105175,0.8673647469307615,505,497,76,94
18,0.6631974726406787,0.8540955631399317,0.8614864864864865,0.8514190317195326,0.8568935427424625,0.8564231738035264,0.94220151678044,0.7081753792638049,0.1431064572400854,0.14858096827798695,0.8514190317195326,0.8568935427424625,510,491,82,89
19,0.6680795517289191,0.8609215017064846,0.8562091503267973,0.8747913188647746,0.8464223385541636,0.8654004954582989,0.9404971054142011,0.7217469210190833,0.15357766142838433,0.12520868113313507,0.8747913188647746,0.8464223385541636,524,485,88,75
20,0.6633898327985315,0.856655290102389,0.863406408094435,0.8547579298831386,0.8586387434405124,0.8590604026845637,0.9403951320845972,0.7132719961431367,0.14136125654203557,0.14524207011443668,0.8547579298831386,0.8586387434405124,512,492,81,87
21,0.6714738542817965,0.8660409556313993,0.8683333333333333,0.8697829716193656,0.8621291448366121,0.8690575479566305,0.9430435251305986,0.7319409061541408,0.13787085514593594,0.13021702837846047,0.8697829716193656,0.8621291448366121,521,494,79,78
22,0.6602999379813874,0.8626279863481229,0.8637873754152824,0.8681135225375626,0.8568935427424625,0.8659450457951707,0.9427084699047569,0.7250989689161351,0.1431064572400854,0.13188647746023563,0.8681135225375626,0.8568935427424625,520,491,82,79
23,0.6745551080528787,0.863481228668942,0.8580750407830342,0.8781302170283807,0.8481675392522134,0.8679867986798679,0.9432707799794307,0.7268909863218159,0.15183246073033452,0.12186978296958481,0.8781302170283807,0.8481675392522134,526,486,87,73
24,0.6617593356366858,0.8660409556313993,0.8733108108108109,0.8631051752921536,0.8691099476288113,0.8681780016792612,0.9476760278183243,0.7320732979658034,0.13089005235373666,0.13689482470556102,0.8631051752921536,0.8691099476288113,517,498,75,82
25,0.6572675367772782,0.8651877133105802,0.8472440944881889,0.8981636060100167,0.8307155322717152,0.8719611021069692,0.9449547966797484,0.7312607050980713,0.16928446771083272,0.1018363939882832,0.8981636060100167,0.8307155322717152,538,476,97,61
26,0.6555276220162167,0.8677474402730375,0.8512658227848101,0.8981636060100167,0.8359511343658648,0.8740861088545898,0.9471166312673536,0.7362058219463204,0.16404886561668328,0.1018363939882832,0.8981636060100167,0.8359511343658648,538,479,94,61
27,0.6603962677839266,0.8677474402730375,0.8615635179153095,0.8831385642737897,0.8516579406483131,0.8722176422093982,0.9460619356868778,0.7354557014019267,0.14834205933423486,0.1168614357242594,0.8831385642737897,0.8516579406483131,529,488,85,70
28,0.6648818889168749,0.8686006825938567,0.8582930756843801,0.8898163606010017,0.8464223385541636,0.8737704918032787,0.9469563874636903,0.7373739051624116,0.15357766142838433,0.11018363939715888,0.8898163606010017,0.8464223385541636,533,485,88,66
29,0.655048376260764,0.8686006825938567,0.8641571194762684,0.8814691151919867,0.8551483420444128,0.8727272727272727,0.9475857085835321,0.737107268117392,0.14485165793813523,0.11853088480603455,0.8814691151919867,0.8551483420444128,528,490,83,71
