0
tilt_angle
vertical_velocity
ground_proximity
torso_depth
tilt_velocity
tilt_acceleration
depth_velocity
depth_acceleration
tilt_relative_change
depth_relative_ratio
height_drop_ratio
motion_energy
peak_motion
acceleration_energy
peak_time_ratio
duration_high_motion
descent_recovery_ratio
post_impact_stillness
stillness_ratio
max_depth_drop_ratio
depth_peak_time_ratio
