epoch,train_loss,accuracy,precision,recall,specificity,f1,auc,mcc,fpr,fnr,tpr,tnr,tp,tn,fp,fn
1,0.033813180573809665,0.8733221476510067,0.8713355048859935,0.8813838550247117,0.8649572649424794,0.8763308763308764,0.9448654585392641,0.7465545448940973,0.13504273504042663,0.11861614497333417,0.8813838550247117,0.8649572649424794,535,506,79,72
2,0.02446775494030858,0.8716442953020134,0.8927335640138409,0.8500823723228995,0.8940170940018116,0.8708860759493671,0.9520184739295119,0.7443122502252182,0.1059829059810943,0.14991762767463068,0.8500823723228995,0.8940170940018116,516,523,62,91
3,0.022147986775376653,0.8850671140939598,0.8637770897832817,0.9192751235584844,0.849572649558127,0.8906624102154829,0.9536152297272561,0.7714362791795668,0.150427350424779,0.08072487644018575,0.9192751235584844,0.849572649558127,558,497,88,49
4,0.02074695316193338,0.8833892617449665,0.8534743202416919,0.9308072487644151,0.8341880341737745,0.8904649330181245,0.9561328658527999,0.7695983117187022,0.1658119658091314,0.06919275123444493,0.9308072487644151,0.8341880341737745,565,488,97,42
5,0.020018404366873556,0.8859060402684564,0.8488888888888889,0.943986820428336,0.8256410256269121,0.8939157566302652,0.9572227150480858,0.7763470252246488,0.17435897435599387,0.05601317957074113,0.943986820428336,0.8256410256269121,573,483,102,34
6,0.019598554232276525,0.889261744966443,0.859304084720121,0.9357495881383855,0.8410256410112645,0.8958990536277602,0.958454779706839,0.7813032953420581,0.15897435897164147,0.06425041186055601,0.9357495881383855,0.8410256410112645,568,492,93,39
7,0.019297049430842768,0.8934563758389261,0.8726708074534162,0.9258649093904449,0.8598290598143619,0.8984812150279776,0.9574480068714006,0.7881202479155376,0.1401709401685441,0.07413509060833386,0.9258649093904449,0.8598290598143619,562,503,82,45
8,0.018966407992489536,0.8901006711409396,0.8573573573573574,0.9406919275123559,0.8376068375925195,0.8970934799685781,0.9575381236007268,0.78358954587544,0.16239316239038645,0.059308072486667085,0.9406919275123559,0.8376068375925195,571,490,95,36
9,0.01872374941188617,0.8951342281879194,0.8789308176100629,0.9209225700164745,0.8683760683612243,0.8994368463395012,0.9583914163815317,0.7909475380424845,0.13162393162168165,0.07907742998222278,0.9209225700164745,0.8683760683612243,559,508,77,48
10,0.018585786296854784,0.886744966442953,0.8586626139817629,0.9308072487644151,0.8410256410112645,0.8932806324110671,0.9579858910995649,0.7759111347830309,0.15897435897164147,0.06919275123444493,0.9308072487644151,0.8410256410112645,565,492,93,42
