epoch,train_loss,val_acc,val_precision,val_recall,val_f1,val_auc,val_tp,val_tn,val_fp,val_fn,threshold
1,0.5223275601385109,0.6624,0.6330769230769231,0.8406537282941777,0.7222465993856955,0.6941325879177002,823,419,477,156,0.7623806
2,0.42705701716453676,0.6629333333333334,0.6616961789375583,0.7252298263534218,0.6920077972709552,0.7231607051656209,710,533,363,269,0.80670065
3,0.39986074632071106,0.6725333333333333,0.6657584014532243,0.7487231869254342,0.7048076923076924,0.7352550890121115,733,528,368,246,0.8325343
4,0.38094714885375586,0.6757333333333333,0.6831194471865746,0.7068437180796732,0.6947791164658634,0.7269136235955056,692,575,321,287,0.782312
5,0.3757492525869584,0.68,0.6549468520032706,0.8181818181818182,0.7275204359673024,0.7211713847949803,801,474,422,178,0.75632477
6,0.372087977078545,0.6816,0.6575907590759076,0.8140960163432074,0.7275216795983569,0.7083736137458049,797,481,415,182,0.78920066
