epoch,train_loss,val_acc,val_precision,val_recall,val_f1,val_auc,val_tp,val_tn,val_fp,val_fn,threshold
1,0.6071779061336906,0.7950819672131147,0.7979899497487437,0.7995971802618328,0.7987927565392354,0.847314937618596,794,758,201,199,0.5343588
2,0.500382355342106,0.8084016393442623,0.8142131979695432,0.8076535750251762,0.8109201213346815,0.8838007869476325,802,776,183,191,0.41420642
3,0.47116743107231296,0.8186475409836066,0.8331595411887383,0.8046324269889225,0.8186475409836066,0.8954936904525631,799,799,160,194,0.41600683
4,0.44508029636071655,0.8314549180327869,0.8429752066115702,0.8217522658610272,0.8322284548699643,0.9005247367652819,816,807,152,177,0.44738442
5,0.42057054054980375,0.8237704918032787,0.814133591481123,0.8469284994964753,0.8302073050345509,0.9022857604902723,841,767,192,152,0.31252718
6,0.42392491010987027,0.8283811475409836,0.825098814229249,0.8408862034239678,0.8329177057356608,0.9055137789342917,835,782,177,158,0.34835938
7,0.41710196958512674,0.8457991803278688,0.8665254237288136,0.823766364551863,0.8446050593701601,0.9146213273939474,818,833,126,175,0.44666442
8,0.38598301571850874,0.8160860655737705,0.8460698689956332,0.7804632426988922,0.8119434258774227,0.8952028117573799,775,818,141,218,0.49877942
9,0.40866291532102894,0.8560450819672131,0.8836206896551724,0.8257804632426989,0.8537220197813639,0.9252998308283112,820,851,108,173,0.48338616
10,0.39352025635996646,0.8391393442622951,0.8305744888023369,0.8590130916414904,0.8445544554455445,0.9132236395120379,853,785,174,140,0.3902003
11,0.39757673448445846,0.836577868852459,0.8383534136546185,0.8408862034239678,0.8396178984414279,0.9085065741735422,835,798,161,158,0.45711935
12,0.3847838795610837,0.8360655737704918,0.8622174381054898,0.8066465256797583,0.8335067637877211,0.9127773454851322,801,831,128,192,0.42716283
13,0.4007948465189155,0.8396516393442623,0.8469387755102041,0.8358509566968781,0.8413583375570197,0.9115581752139847,830,809,150,163,0.36163405
14,0.4028271090315313,0.8386270491803278,0.8487654320987654,0.8308157099697885,0.8396946564885496,0.9097698487955838,825,812,147,168,0.42823797
15,0.38326976959194453,0.8457991803278688,0.8523421588594705,0.8429003021148036,0.8475949367088608,0.9153500992872947,837,814,145,156,0.44196063
