epoch,train_loss,train_acc,test_loss,test_acc,precision,recall,f1,specificity,balanced_acc,roc_auc,TP,TN,FP,FN
1,0.6239462618933136,0.6578947368421053,0.6350917722682775,0.622360248447205,0.6342710997442456,0.34782608695652173,0.4492753623188406,0.8405797101449275,0.5942028985507246,0.7347039609982472,248,754,143,465
2,0.44283662582362504,0.8256578947368421,0.5992655665618772,0.7894409937888198,0.6892712550607287,0.9551192145862553,0.800705467372134,0.6577480490523969,0.8064336318193261,0.8717698546346636,681,590,307,32
3,0.3435672744898532,0.8764097744360902,0.44900577280016746,0.7608695652173914,0.9,0.517531556802244,0.6571682991985752,0.9542920847268673,0.7359118207645556,0.9290841686719485,369,856,41,344
4,0.307597796063296,0.8893327067669173,0.35242545403676073,0.8813664596273292,0.9453924914675768,0.7769985974754559,0.852963818321786,0.9643255295429208,0.8706620635091884,0.942917094694642,554,865,32,159
5,0.26252486333215985,0.9116541353383458,0.5499935387441572,0.846583850931677,0.7672018348623854,0.938288920056101,0.8441640378548897,0.7736900780379041,0.8559894990470025,0.8992816947875183,669,694,203,44
6,0.24242084392318433,0.918233082706767,0.30558058379416103,0.9192546583850931,0.9182209469153515,0.8976157082748948,0.9078014184397163,0.9364548494983278,0.9170352788866113,0.9525815363976227,640,840,57,73
7,0.21882038470007537,0.925046992481203,0.35127669170698417,0.9049689440993789,0.8743315508021391,0.9172510518934082,0.8952772073921972,0.89520624303233,0.9062286474628691,0.9430843969535352,654,803,94,59
8,0.20001792174035726,0.931390977443609,0.33637125335523216,0.867080745341615,0.9447415329768271,0.7433380084151473,0.8320251177394035,0.9654403567447045,0.8543891825799259,0.9495591507299539,530,866,31,183
9,0.19157123067363732,0.9332706766917294,0.4126732950353426,0.884472049689441,0.8170878459687124,0.9523141654978962,0.8795336787564767,0.830546265328874,0.8914302154133851,0.9357926765390636,679,745,152,34
10,0.17978136330541866,0.9410244360902256,0.40830427465173486,0.8937888198757764,0.8265060240963855,0.9621318373071529,0.8891769280622165,0.8394648829431438,0.9007983601251484,0.9472974430898695,686,753,144,27
11,0.16851942244868137,0.9407894736842105,0.3210055830526189,0.9118012422360249,0.8609355246523388,0.9551192145862553,0.9055851063829786,0.8773690078037905,0.9162441111950228,0.9553600047532603,681,787,110,32
12,0.15579815118799434,0.9478383458646616,0.6326925927122364,0.8540372670807453,0.7649667405764967,0.967741935483871,0.8544891640866873,0.7636566332218506,0.8656992843528608,0.9175332767320085,690,685,212,23
13,0.1576799602207073,0.950187969924812,0.3064655833808931,0.9167701863354037,0.8834437086092716,0.9354838709677419,0.9087193460490463,0.9018952062430323,0.918689538605387,0.9547611564807735,667,809,88,46
14,0.1368064860945928,0.9553571428571429,0.27018708458331814,0.9267080745341615,0.9069767441860465,0.9298737727910238,0.9182825484764543,0.9241917502787068,0.9270327615348652,0.961009192242804,663,829,68,50
15,0.12875889502087157,0.9584116541353384,0.26508031949112215,0.9273291925465839,0.8952254641909815,0.9467040673211781,0.9202453987730062,0.9119286510590858,0.9293163591901319,0.9634546196531683,675,818,79,38
