epoch,train_loss,train_acc,test_loss,test_acc,precision,recall,f1,specificity,balanced_acc,roc_auc,TP,TN,FP,FN
1,0.7166951258643335,0.5146218487394958,0.715861527678959,0.5209270148737462,0.5439635535307517,0.7566539923954373,0.6329181023058573,0.2376237623762376,0.49713887738583745,0.49285491579283697,1194,312,1001,384
2,0.7088573419947584,0.505546218487395,0.7464881538520095,0.45243860255966795,0.484472049689441,0.049429657794676805,0.08970672800460035,0.9367859862909368,0.4931078220428068,0.487874496721389,78,1230,83,1500
3,0.702269840861569,0.5136134453781512,0.7057202611774444,0.4635074368730543,0.5194805194805194,0.22813688212927757,0.3170409511228534,0.7463823305407464,0.487259606335012,0.47295230400489596,360,980,333,1218
4,0.7010588010619668,0.5126050420168067,0.7074949516016321,0.46281563472846765,0.5193798449612403,0.21229404309252217,0.3013945119208277,0.763899466869764,0.4880967549811431,0.47862749129548815,335,1003,310,1243
5,0.698947345449143,0.5226890756302521,0.7027472909327322,0.49844344517468003,0.5700218818380745,0.33016476552598223,0.41813804173354735,0.7006854531607006,0.5154251093433414,0.5201632403661542,521,920,393,1057
6,0.6872814185879812,0.5512605042016807,0.7196542280885597,0.47976478727084054,0.5552238805970149,0.23574144486692014,0.3309608540925266,0.773038842345773,0.5043901436063466,0.5207930927635027,372,1015,298,1206
7,0.6276176833705742,0.6410084033613446,0.49085700059124693,0.8045658941542719,0.8534542916957432,0.7750316856780735,0.8123546994354036,0.8400609291698401,0.8075463074239568,0.8696403422149761,1223,1103,210,355
8,0.509989912104206,0.7801680672268908,0.4841557266445445,0.7028709789000346,0.649854105877449,0.9879594423320659,0.7840080462660297,0.3602437166793602,0.674101579505713,0.9503753534171786,1559,473,840,19
9,0.43684171331028976,0.826890756302521,0.6957292939427278,0.7253545485991006,0.9937027707808564,0.5,0.6652613827993256,0.9961919268849961,0.7480959634424981,0.8425035981223159,789,1308,5,789
10,0.38519031732022263,0.8551260504201681,0.3085239740281799,0.9003804911795227,0.8918590522478737,0.9302915082382763,0.9106699751861043,0.8644325971058644,0.8973620526720704,0.956662776543814,1468,1135,178,110
11,0.36225558811376074,0.8648739495798319,0.3060574021252579,0.8893116568661363,0.9111111111111111,0.8833967046894804,0.8970398970398972,0.8964204112718964,0.8899085579806885,0.9497329522364346,1394,1177,136,184
12,0.33778799881454274,0.8736134453781512,0.33721357061495777,0.8737461086129367,0.890032154340836,0.8770595690747782,0.8834982444940952,0.8697638994668697,0.873411734270824,0.937240155720749,1384,1142,171,194
13,0.30937622683514066,0.8870588235294118,0.2910514105126909,0.9010722933241093,0.8617021276595744,0.9752851711026616,0.9149821640903685,0.8118811881188119,0.8935831796107367,0.9706078534147653,1539,1066,247,39
14,0.30076797697223534,0.8934453781512605,0.30393452457385883,0.8872362504323763,0.9630177514792899,0.8250950570342205,0.8887372013651877,0.9619192688499619,0.8935071629420912,0.9488540547532378,1302,1263,50,276
